rd_task.env3.95.100.CTVA.1
env3 , CTVA , 1 , 4.6 , 1932
env6 , NMR_5 , 8 , 10. , 23894
env7 , NMR_5 , 8 , 6.3 , 24000
env8 , NMR_5 , 8 , 2.2 , 24000
env3 , GG_4 , 8 , 15. , 20861
env4 , GG_4 , 8 , 15. , 21650
env5 , GG_4 , 8 , 16. , 23642
env6 , GG_4 , 8 , 7.8 , 20812
env7 , GG_4 , 8 , 5.2 , 19502
env8 , GG_4 , 8 , 2.2 , 17393
env3 , CTVA , 9 , 17. , 22540
env4 , CTVA , 9 , 21. , 22771
env5 , CTVA , 9 , 26. , 23873
env6 , CTVA , 9 , 13. , 22637
env7 , CTVA , 9 , 7.9 , 21431
env8 , CTVA , 9 , 2.1 , 19229
env3 , NMR_5 , 9 , 21. , 21462
env4 , NMR_5 , 9 , 27. , 21378
env5 , NMR_5 , 9 , 17. , 23419
env6 , NMR_5 , 9 , 13. , 23896
env7 , NMR_5 , 9 , 8.5 , 24000
env8 , NMR_5 , 9 , 4.3 , 24000
env3 , GG_4 , 9 , 18. , 22647
env4 , GG_4 , 9 , 18. , 22607
env5 , GG_4 , 9 , 23. , 23878
env6 , GG_4 , 9 , 12. , 22350
env7 , GG_4 , 9 , 6.7 , 21356
env8 , GG_4 , 9 , 2.2 , 19270
env3 , CTVA , 10 , 21. , 23232
env4 , CTVA , 10 , 25. , 23288
env5 , CTVA , 10 , 33. , 23965
env6 , CTVA , 10 , 19. , 23282
env7 , CTVA , 10 , 11. , 22375
env8 , CTVA , 10 , 2.6 , 20950
env3 , NMR_5 , 10 , 25. , 21548
env4 , NMR_5 , 10 , 28. , 21532
env5 , NMR_5 , 10 , 20. , 23413
env6 , NMR_5 , 10 , 15. , 23894
env7 , NMR_5 , 10 , 10. , 24000
env8 , NMR_5 , 10 , 5.2 , 24000
env3 , GG_4 , 10 , 20. , 23352
env4 , GG_4 , 10 , 21. , 23403
env5 , GG_4 , 10 , 30. , 23975
env6 , GG_4 , 10 , 18. , 23206
env7 , GG_4 , 10 , 11. , 22573
env8 , GG_4 , 10 , 2.8 , 21206
env3 , CTVA , 11 , 28. , 23636
env4 , CTVA , 11 , 32. , 23622
env5 , CTVA , 11 , 43. , 23967
env6 , CTVA , 11 , 28. , 23682
env7 , CTVA , 11 , 19. , 23049
env8 , CTVA , 11 , 3.6 , 22192
env3 , NMR_5 , 11 , 30. , 21689
env4 , NMR_5 , 11 , 33. , 21636
env5 , NMR_5 , 11 , 24. , 23459
env6 , NMR_5 , 11 , 19. , 23913
env7 , NMR_5 , 11 , 13. , 24000
env8 , NMR_5 , 11 , 7.7 , 24000
env3 , GG_4 , 11 , 27. , 23637
env4 , GG_4 , 11 , 25. , 23631
env5 , GG_4 , 11 , 38. , 23989
env6 , GG_4 , 11 , 27. , 23743
env7 , GG_4 , 11 , 20. , 23150
env8 , GG_4 , 11 , 3.3 , 22230
env3 , CTVA , 12 , 36. , 23843
env4 , CTVA , 12 , 39. , 23792
env5 , CTVA , 12 , 52. , 23999
env6 , CTVA , 12 , 36. , 23855
env7 , CTVA , 12 , 31. , 23572
env8 , CTVA , 12 , 4.6 , 23165
env3 , NMR_5 , 12 , 33. , 21769
env4 , NMR_5 , 12 , 38. , 21788
env5 , NMR_5 , 12 , 28. , 23413
env6 , NMR_5 , 12 , 22. , 23911
env7 , NMR_5 , 12 , 15. , 24000
env8 , NMR_5 , 12 , 9.2 , 24000
env3 , GG_4 , 12 , 32. , 23856
env4 , GG_4 , 12 , 32. , 23762
env5 , GG_4 , 12 , 50. , 23998
env6 , GG_4 , 12 , 35. , 23845
env7 , GG_4 , 12 , 29. , 23428
env8 , GG_4 , 12 , 4.5 , 23130
